
Load Training Dataset ...
The number of training data is: 4500

Model Initial ...
Do not use pretrain model!
PARAMETER ...
Namespace(amp=True, angRes=5, batch_size=1, channels=64, data_name='HCI_new', decay_rate=0, epoch=50, gamma=0.5, global_batch_size=8, local_rank=0, lr=0.0002, model_name='LFT', n_steps=15, num_workers=4, patch_size_for_test=32, path_for_test='./data/LFSR_processed_rgb/data_for_test/', path_for_train='./data/LFSR_processed_y/data_for_train/', path_log='./log/', path_pre_pth='./pth/LFT_5x5_4x_epoch_50_model.pth', scale_factor=2, stride_for_test=16, use_pre_pth=False)
training with fp16 mode.

Start training...

Epoch 1 /50:
Train - loss: 0.04136, ssim: 20.09335, psnr: 0.56973
Train - loss: 0.00961, ssim: 31.83878, psnr: 0.91638
Train - loss: 0.00376, ssim: 40.64919, psnr: 0.98888
Train - loss: 0.00459, ssim: 37.98119, psnr: 0.98208
Train - loss: 0.01217, ssim: 30.58505, psnr: 0.84916
Train - loss: 0.00439, ssim: 38.45552, psnr: 0.97598
Train - loss: 0.00236, ssim: 43.08715, psnr: 0.99460
Train - loss: 0.00921, ssim: 32.04156, psnr: 0.94490
Train - loss: 0.01068, ssim: 29.40076, psnr: 0.93888
Train - loss: 0.00575, ssim: 33.91018, psnr: 0.97341
Train - loss: 0.00358, ssim: 40.76780, psnr: 0.98123
Train - loss: 0.00991, ssim: 32.09090, psnr: 0.88657
Train - loss: 0.00191, ssim: 44.90612, psnr: 0.99180
Train - loss: 0.00517, ssim: 36.44416, psnr: 0.95927
Train - loss: 0.00381, ssim: 39.01247, psnr: 0.98050
Train - loss: 0.00825, ssim: 33.28262, psnr: 0.91411
Train - loss: 0.00493, ssim: 37.68941, psnr: 0.96651
Train - loss: 0.00310, ssim: 41.70901, psnr: 0.98377
Train - loss: 0.00916, ssim: 32.50424, psnr: 0.90532
Train - loss: 0.00472, ssim: 35.46280, psnr: 0.98258
Train - loss: 0.01095, ssim: 30.82977, psnr: 0.88500
Train - loss: 0.00344, ssim: 37.31409, psnr: 0.98734
Train - loss: 0.00584, ssim: 36.67586, psnr: 0.94627
Train - loss: 0.00956, ssim: 30.30321, psnr: 0.94686
Train - loss: 0.00445, ssim: 38.04581, psnr: 0.97805
Train - loss: 0.00983, ssim: 30.99046, psnr: 0.91394
Train - loss: 0.00479, ssim: 34.09003, psnr: 0.98521
Train - loss: 0.00177, ssim: 41.08710, psnr: 0.99668
Train - loss: 0.01173, ssim: 28.98295, psnr: 0.85910
Train - loss: 0.00916, ssim: 32.41600, psnr: 0.91717
Train - loss: 0.00779, ssim: 33.26993, psnr: 0.97556
Train - loss: 0.01905, ssim: 26.25850, psnr: 0.85102
Train - loss: 0.00612, ssim: 34.93437, psnr: 0.96335
Train - loss: 0.00741, ssim: 34.58091, psnr: 0.93245
Train - loss: 0.00884, ssim: 32.93196, psnr: 0.90032
Train - loss: 0.00586, ssim: 33.78613, psnr: 0.97862
Train - loss: 0.00481, ssim: 36.42631, psnr: 0.97456
Train - loss: 0.00263, ssim: 41.65521, psnr: 0.98994
Train - loss: 0.00692, ssim: 33.97557, psnr: 0.96899
Train - loss: 0.00201, ssim: 43.08194, psnr: 0.99546
Train - loss: 0.00738, ssim: 32.03948, psnr: 0.94018
Train - loss: 0.00254, ssim: 42.73044, psnr: 0.98782
Train - loss: 0.00476, ssim: 37.37259, psnr: 0.97086
Train - loss: 0.00459, ssim: 34.63335, psnr: 0.98276
Train - loss: 0.00445, ssim: 37.95405, psnr: 0.97075
Train - loss: 0.00683, ssim: 33.16407, psnr: 0.96843
Train - loss: 0.00354, ssim: 40.23274, psnr: 0.98491
Train - loss: 0.00401, ssim: 38.07989, psnr: 0.97714
Train - loss: 0.00407, ssim: 39.69475, psnr: 0.97248
Train - loss: 0.00520, ssim: 36.76723, psnr: 0.96083
Train - loss: 0.00999, ssim: 29.18847, psnr: 0.92645
Train - loss: 0.00430, ssim: 39.27907, psnr: 0.96923
Train - loss: 0.00181, ssim: 45.59668, psnr: 0.99493
Train - loss: 0.00573, ssim: 36.66557, psnr: 0.96052
Train - loss: 0.01216, ssim: 29.63952, psnr: 0.83802
Train - loss: 0.00399, ssim: 39.91012, psnr: 0.97279
Train - loss: 0.00807, ssim: 33.51533, psnr: 0.91140
The 1th Train, loss is: 0.00626, psnr is 36.31720, ssim is 0.95476
Saving the epoch_01 model at log/SR_5x5_2x/LFT/HCI_new/checkpoints/LFT_5x5_2x_epoch_01_model.pth

Epoch 2 /50:
Train - loss: 0.00388, ssim: 39.29458, psnr: 0.97835
Train - loss: 0.00699, ssim: 33.88163, psnr: 0.96250
Train - loss: 0.00239, ssim: 42.77710, psnr: 0.99403
Train - loss: 0.00472, ssim: 37.84859, psnr: 0.97766
Train - loss: 0.00670, ssim: 35.05324, psnr: 0.94697
Train - loss: 0.00542, ssim: 34.77096, psnr: 0.96969
Train - loss: 0.00363, ssim: 39.81812, psnr: 0.98463
Train - loss: 0.00776, ssim: 33.12731, psnr: 0.93093
Train - loss: 0.00771, ssim: 30.72020, psnr: 0.97275
Train - loss: 0.00693, ssim: 34.19699, psnr: 0.95373
Train - loss: 0.00346, ssim: 39.69326, psnr: 0.98503
Train - loss: 0.00270, ssim: 41.41230, psnr: 0.99085
Train - loss: 0.00396, ssim: 39.83801, psnr: 0.97721
Train - loss: 0.00457, ssim: 37.86010, psnr: 0.97909
Train - loss: 0.00597, ssim: 36.30204, psnr: 0.95156
Train - loss: 0.00840, ssim: 33.30864, psnr: 0.91766
